Country,Continent,Category,Bucket,uniqueID,Freq,adj_Bucket
Comoros,Africa,Population,1,AfricaPopulation1,53,1
Congo (Dem. Rep.),Africa,Population,1,AfricaPopulation1,53,1
Congo (Rep.),Africa,Population,1,AfricaPopulation1,53,1
Costa Rica,North America,Population,1,North AmericaPopulation1,22,1
Cote d'Ivoire,Africa,Population,1,AfricaPopulation1,53,1
Croatia,Europe,Population,1,EuropePopulation1,45,1
Cuba,North America,Population,1,North AmericaPopulation1,22,1
Cyprus,Europe,Population,1,EuropePopulation1,45,1
Czech Republic,Europe,Population,1,EuropePopulation1,45,1
Denmark,Europe,Population,1,EuropePopulation1,45,1
Djibouti,Africa,Population,1,AfricaPopulation1,53,1
Dominica,North America,Population,1,North AmericaPopulation1,22,1
Dominican Republic,North America,Population,1,North AmericaPopulation1,22,1
Ecuador,South America,Population,1,South AmericaPopulation1,11,1
Egypt,Africa,Population,1,AfricaPopulation1,53,1
El Salvador,North America,Population,1,North AmericaPopulation1,22,1
Equatorial Guinea,Africa,Population,1,AfricaPopulation1,53,1
Eritrea,Africa,Population,1,AfricaPopulation1,53,1
Estonia,Europe,Population,1,EuropePopulation1,45,1
Eswatini,Africa,Population,1,AfricaPopulation1,53,1
Ethiopia,Africa,Population,1,AfricaPopulation1,53,1
Fiji,Oceania,Population,1,OceaniaPopulation1,14,1
Finland,Europe,Population,1,EuropePopulation1,45,1
France,UN Security Council,Population,1,UN Security CouncilPopulation1,2,1
Gabon,Africa,Population,1,AfricaPopulation1,53,1
"Gambia, The",Africa,Population,1,AfricaPopulation1,53,1
Georgia,Europe,Population,1,EuropePopulation1,45,1
Germany,Europe,Population,1,EuropePopulation1,45,1
Ghana,Africa,Population,1,AfricaPopulation1,53,1
Greece,Europe,Population,1,EuropePopulation1,45,1
Grenada,North America,Population,1,North AmericaPopulation1,22,1
Guatemala,North America,Population,1,North AmericaPopulation1,22,1
Guinea,Africa,Population,1,AfricaPopulation1,53,1
Guinea-Bissau,Africa,Population,1,AfricaPopulation1,53,1
Guyana,South America,Population,1,South AmericaPopulation1,11,1
Haiti,North America,Population,1,North AmericaPopulation1,22,1
Honduras,North America,Population,1,North AmericaPopulation1,22,1
Hungary,Europe,Population,1,EuropePopulation1,45,1
Iceland,Europe,Population,1,EuropePopulation1,45,1
India,Asia,Population,10,AsiaPopulation10,1,10
Indonesia,Asia,Population,2,AsiaPopulation2,3,2
Iran,Asia,Population,1,AsiaPopulation1,39,1
Iraq,Asia,Population,1,AsiaPopulation1,39,1
Ireland,Europe,Population,1,EuropePopulation1,45,1
Israel,Asia,Population,1,AsiaPopulation1,39,1
Italy,Europe,Population,1,EuropePopulation1,45,1
Jamaica,North America,Population,1,North AmericaPopulation1,22,1
Japan,Asia,Population,1,AsiaPopulation1,39,1
Jordan,Asia,Population,1,AsiaPopulation1,39,1
Kazakhstan,Asia,Population,1,AsiaPopulation1,39,1
Kenya,Africa,Population,1,AfricaPopulation1,53,1
Kiribati,Oceania,Population,1,OceaniaPopulation1,14,1
Korea (Dem. People’s Rep.),Asia,Population,1,AsiaPopulation1,39,1
Korea (Rep.),Asia,Population,1,AsiaPopulation1,39,1
Kosovo,Europe,Population,1,EuropePopulation1,45,1
Kuwait,Asia,Population,1,AsiaPopulation1,39,1
Kyrgyzstan,Asia,Population,1,AsiaPopulation1,39,1
Laos,Asia,Population,1,AsiaPopulation1,39,1
Latvia,Europe,Population,1,EuropePopulation1,45,1
Lebanon,Asia,Population,1,AsiaPopulation1,39,1
Lesotho,Africa,Population,1,AfricaPopulation1,53,1
Liberia,Africa,Population,1,AfricaPopulation1,53,1
Libya,Africa,Population,1,AfricaPopulation1,53,1
Liechtenstein,Europe,Population,1,EuropePopulation1,45,1
Lithuania,Europe,Population,1,EuropePopulation1,45,1
Luxembourg,Europe,Population,1,EuropePopulation1,45,1
Macedonia,Europe,Population,1,EuropePopulation1,45,1
Madagascar,Africa,Population,1,AfricaPopulation1,53,1
Malawi,Africa,Population,1,AfricaPopulation1,53,1
Malaysia,Asia,Population,1,AsiaPopulation1,39,1
Maldives,Asia,Population,1,AsiaPopulation1,39,1
Mali,Africa,Population,1,AfricaPopulation1,53,1
Malta,Europe,Population,1,EuropePopulation1,45,1
Marshall Islands,Oceania,Population,1,OceaniaPopulation1,14,1
Mauritania,Africa,Population,1,AfricaPopulation1,53,1
Mauritius,Africa,Population,1,AfricaPopulation1,53,1
Mexico,North America,Population,1,North AmericaPopulation1,22,1
Micronesia,Oceania,Population,1,OceaniaPopulation1,14,1
Moldova,Europe,Population,1,EuropePopulation1,45,1
Monaco,Europe,Population,1,EuropePopulation1,45,1
Mongolia,Asia,Population,1,AsiaPopulation1,39,1
Montenegro,Europe,Population,1,EuropePopulation1,45,1
Morocco,Africa,Population,1,AfricaPopulation1,53,1
Mozambique,Africa,Population,1,AfricaPopulation1,53,1
Myanmar,Asia,Population,1,AsiaPopulation1,39,1
Namibia,Africa,Population,1,AfricaPopulation1,53,1
Nauru,Oceania,Population,1,OceaniaPopulation1,14,1
Nepal,Asia,Population,1,AsiaPopulation1,39,1
Netherlands,Europe,Population,1,EuropePopulation1,45,1
New Zealand,Oceania,Population,1,OceaniaPopulation1,14,1
Nicaragua,North America,Population,1,North AmericaPopulation1,22,1
Niger,Africa,Population,1,AfricaPopulation1,53,1
Nigeria,Africa,Population,2,AfricaPopulation2,1,2
Norway,Europe,Population,1,EuropePopulation1,45,1
Oman,Asia,Population,1,AsiaPopulation1,39,1
Pakistan,Asia,Population,2,AsiaPopulation2,3,2
Palau,Oceania,Population,1,OceaniaPopulation1,14,1
Panama,North America,Population,1,North AmericaPopulation1,22,1
Papua New Guinea,Oceania,Population,1,OceaniaPopulation1,14,1
Paraguay,South America,Population,1,South AmericaPopulation1,11,1
Peru,South America,Population,1,South AmericaPopulation1,11,1
Philippines,Asia,Population,1,AsiaPopulation1,39,1
Poland,Europe,Population,1,EuropePopulation1,45,1
Portugal,Europe,Population,1,EuropePopulation1,45,1
Qatar,Asia,Population,1,AsiaPopulation1,39,1
Romania,Europe,Population,1,EuropePopulation1,45,1
Russia,UN Security Council,Population,2,UN Security CouncilPopulation2,1,2
Rwanda,Africa,Population,1,AfricaPopulation1,53,1
Saint Kitts and Nevis,North America,Population,1,North AmericaPopulation1,22,1
Saint Lucia,North America,Population,1,North AmericaPopulation1,22,1
Saint Vincent and the Grenadines,North America,Population,1,North AmericaPopulation1,22,1
Samoa,Oceania,Population,1,OceaniaPopulation1,14,1
San Marino,Europe,Population,1,EuropePopulation1,45,1
Sao Tome and Principe,Africa,Population,1,AfricaPopulation1,53,1
Saudi Arabia,Asia,Population,1,AsiaPopulation1,39,1
Senegal,Africa,Population,1,AfricaPopulation1,53,1
Serbia,Europe,Population,1,EuropePopulation1,45,1
Seychelles,Africa,Population,1,AfricaPopulation1,53,1
Sierra Leone,Africa,Population,1,AfricaPopulation1,53,1
Singapore,Asia,Population,1,AsiaPopulation1,39,1
Slovakia,Europe,Population,1,EuropePopulation1,45,1
Slovenia,Europe,Population,1,EuropePopulation1,45,1
Solomon Islands,Oceania,Population,1,OceaniaPopulation1,14,1
Somalia,Africa,Population,1,AfricaPopulation1,53,1
South Africa,Africa,Population,1,AfricaPopulation1,53,1
South Sudan,Africa,Population,1,AfricaPopulation1,53,1
Spain,Europe,Population,1,EuropePopulation1,45,1
Sri Lanka,Asia,Population,1,AsiaPopulation1,39,1
Sudan,Africa,Population,1,AfricaPopulation1,53,1
Suriname,South America,Population,1,South AmericaPopulation1,11,1
Sweden,Europe,Population,1,EuropePopulation1,45,1
Switzerland,Europe,Population,1,EuropePopulation1,45,1
Syria,Asia,Population,1,AsiaPopulation1,39,1
Taiwan,Asia,Population,1,AsiaPopulation1,39,1
Tajikistan,Asia,Population,1,AsiaPopulation1,39,1
Tanzania,Africa,Population,1,AfricaPopulation1,53,1
Thailand,Asia,Population,1,AsiaPopulation1,39,1
Timor-Leste,Asia,Population,1,AsiaPopulation1,39,1
Togo,Africa,Population,1,AfricaPopulation1,53,1
Tonga,Oceania,Population,1,OceaniaPopulation1,14,1
Trinidad and Tobago,North America,Population,1,North AmericaPopulation1,22,1
Tunisia,Africa,Population,1,AfricaPopulation1,53,1
Turkey,Asia,Population,1,AsiaPopulation1,39,1
Turkmenistan,Asia,Population,1,AsiaPopulation1,39,1
Tuvalu,Oceania,Population,1,OceaniaPopulation1,14,1
Uganda,Africa,Population,1,AfricaPopulation1,53,1
Ukraine,Europe,Population,1,EuropePopulation1,45,1
United Arab Emirates,Asia,Population,1,AsiaPopulation1,39,1
United Kingdom,UN Security Council,Population,1,UN Security CouncilPopulation1,2,1
United States,UN Security Council,Population,3,UN Security CouncilPopulation3,1,3
Uruguay,South America,Population,1,South AmericaPopulation1,11,1
Uzbekistan,Asia,Population,1,AsiaPopulation1,39,1
Vanuatu,Oceania,Population,1,OceaniaPopulation1,14,1
Venezuela,South America,Population,1,South AmericaPopulation1,11,1
Vietnam,Asia,Population,1,AsiaPopulation1,39,1
Yemen,Asia,Population,1,AsiaPopulation1,39,1
Zambia,Africa,Population,1,AfricaPopulation1,53,1
Zimbabwe,Africa,Population,1,AfricaPopulation1,53,1
Afghanistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Albania,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Algeria,Africa,Surface Area (Km2),2,AfricaSurface Area (Km2)2,4,2
Andorra,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Angola,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Antigua & Barbuda,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Argentina,South America,Surface Area (Km2),2,South AmericaSurface Area (Km2)2,1,2
Armenia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Australia,Oceania,Surface Area (Km2),5,OceaniaSurface Area (Km2)5,1,5
Austria,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Azerbaijan,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Bahamas,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Bahrain,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Bangladesh,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Barbados,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Belarus,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Belgium,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Belize,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Benin,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Bhutan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Bolivia,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
Bosnia and Herzegovina,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Botswana,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Brazil,South America,Surface Area (Km2),6,South AmericaSurface Area (Km2)6,1,6
Brunei,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Bulgaria,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Burkina Faso,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Burundi,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Cabo Verde,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Cambodia,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Cameroon,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Canada,North America,Surface Area (Km2),6,North AmericaSurface Area (Km2)6,1,6
Central African Republic,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Chad,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Chile,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
China,UN Security Council,Surface Area (Km2),6,UN Security CouncilSurface Area (Km2)6,2,6
Colombia,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
Comoros,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Congo (Dem. Rep.),Africa,Surface Area (Km2),2,AfricaSurface Area (Km2)2,4,2
Congo (Rep.),Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Costa Rica,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Cote d'Ivoire,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Croatia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Cuba,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Cyprus,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Czech Republic,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Denmark,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Djibouti,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Dominica,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Dominican Republic,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Ecuador,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
Egypt,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
El Salvador,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Equatorial Guinea,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Eritrea,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Estonia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Eswatini,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Ethiopia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Fiji,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Finland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
France,UN Security Council,Surface Area (Km2),1,UN Security CouncilSurface Area (Km2)1,2,1
Gabon,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
"Gambia, The",Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Georgia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Germany,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Ghana,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Greece,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Grenada,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Guatemala,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Guinea,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Guinea-Bissau,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Guyana,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
Haiti,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Honduras,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Hungary,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Iceland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
India,Asia,Surface Area (Km2),2,AsiaSurface Area (Km2)2,4,2
Indonesia,Asia,Surface Area (Km2),2,AsiaSurface Area (Km2)2,4,2
Iran,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Iraq,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Ireland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Israel,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Italy,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Jamaica,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Japan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Jordan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Kazakhstan,Asia,Surface Area (Km2),2,AsiaSurface Area (Km2)2,4,2
Kenya,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Kiribati,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Korea (Dem. People’s Rep.),Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Korea (Rep.),Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Kosovo,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Kuwait,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Kyrgyzstan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Laos,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Latvia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Lebanon,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Lesotho,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Liberia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Libya,Africa,Surface Area (Km2),2,AfricaSurface Area (Km2)2,4,2
Liechtenstein,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Lithuania,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Luxembourg,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Macedonia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Madagascar,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Malawi,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Malaysia,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Maldives,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Mali,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Malta,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Marshall Islands,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Mauritania,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Mauritius,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Mexico,North America,Surface Area (Km2),2,North AmericaSurface Area (Km2)2,1,2
Micronesia,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Moldova,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Monaco,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Mongolia,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Montenegro,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Morocco,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Mozambique,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Myanmar,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Namibia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Nauru,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Nepal,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Netherlands,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
New Zealand,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Nicaragua,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Niger,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Nigeria,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Norway,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Oman,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Pakistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Palau,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Panama,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Papua New Guinea,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Paraguay,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
Peru,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
Philippines,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Poland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Portugal,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Qatar,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Romania,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Russia,UN Security Council,Surface Area (Km2),10,UN Security CouncilSurface Area (Km2)10,1,10
Rwanda,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Saint Kitts and Nevis,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Saint Lucia,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Saint Vincent and the Grenadines,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Samoa,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
San Marino,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Sao Tome and Principe,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Saudi Arabia,Asia,Surface Area (Km2),2,AsiaSurface Area (Km2)2,4,2
Senegal,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Serbia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Seychelles,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Sierra Leone,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Singapore,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Slovakia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Slovenia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Solomon Islands,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Somalia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
South Africa,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
South Sudan,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Spain,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Sri Lanka,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Sudan,Africa,Surface Area (Km2),2,AfricaSurface Area (Km2)2,4,2
Suriname,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
Sweden,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Switzerland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
Syria,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Taiwan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Tajikistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Tanzania,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Thailand,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Timor-Leste,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Togo,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Tonga,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Trinidad and Tobago,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20,1
Tunisia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Turkey,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Turkmenistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Tuvalu,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Uganda,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Ukraine,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45,1
United Arab Emirates,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
United Kingdom,UN Security Council,Surface Area (Km2),1,UN Security CouncilSurface Area (Km2)1,2,1
United States,UN Security Council,Surface Area (Km2),6,UN Security CouncilSurface Area (Km2)6,2,6
Uruguay,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
Uzbekistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Vanuatu,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13,1
Venezuela,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10,1
Vietnam,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Yemen,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39,1
Zambia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
Zimbabwe,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50,1
