Country,Continent,Category,Bucket,uniqueID,Freq
Eswatini,Africa,Population,1,AfricaPopulation1,53
Ethiopia,Africa,Population,1,AfricaPopulation1,53
Fiji,Oceania,Population,1,OceaniaPopulation1,14
Finland,Europe,Population,1,EuropePopulation1,45
France,UN Security Council,Population,1,UN Security CouncilPopulation1,2
Gabon,Africa,Population,1,AfricaPopulation1,53
"Gambia, The",Africa,Population,1,AfricaPopulation1,53
Georgia,Europe,Population,1,EuropePopulation1,45
Germany,Europe,Population,1,EuropePopulation1,45
Ghana,Africa,Population,1,AfricaPopulation1,53
Greece,Europe,Population,1,EuropePopulation1,45
Grenada,North America,Population,1,North AmericaPopulation1,22
Guatemala,North America,Population,1,North AmericaPopulation1,22
Guinea,Africa,Population,1,AfricaPopulation1,53
Guinea-Bissau,Africa,Population,1,AfricaPopulation1,53
Guyana,South America,Population,1,South AmericaPopulation1,11
Haiti,North America,Population,1,North AmericaPopulation1,22
Honduras,North America,Population,1,North AmericaPopulation1,22
Hungary,Europe,Population,1,EuropePopulation1,45
Iceland,Europe,Population,1,EuropePopulation1,45
India,Asia,Population,10,AsiaPopulation10,1
Indonesia,Asia,Population,2,AsiaPopulation2,3
Iran,Asia,Population,1,AsiaPopulation1,39
Iraq,Asia,Population,1,AsiaPopulation1,39
Ireland,Europe,Population,1,EuropePopulation1,45
Israel,Asia,Population,1,AsiaPopulation1,39
Italy,Europe,Population,1,EuropePopulation1,45
Jamaica,North America,Population,1,North AmericaPopulation1,22
Japan,Asia,Population,1,AsiaPopulation1,39
Jordan,Asia,Population,1,AsiaPopulation1,39
Kazakhstan,Asia,Population,1,AsiaPopulation1,39
Kenya,Africa,Population,1,AfricaPopulation1,53
Kiribati,Oceania,Population,1,OceaniaPopulation1,14
Korea (Dem. People’s Rep.),Asia,Population,1,AsiaPopulation1,39
Korea (Rep.),Asia,Population,1,AsiaPopulation1,39
Kosovo,Europe,Population,1,EuropePopulation1,45
Kuwait,Asia,Population,1,AsiaPopulation1,39
Kyrgyzstan,Asia,Population,1,AsiaPopulation1,39
Laos,Asia,Population,1,AsiaPopulation1,39
Latvia,Europe,Population,1,EuropePopulation1,45
Lebanon,Asia,Population,1,AsiaPopulation1,39
Lesotho,Africa,Population,1,AfricaPopulation1,53
Liberia,Africa,Population,1,AfricaPopulation1,53
Libya,Africa,Population,1,AfricaPopulation1,53
Liechtenstein,Europe,Population,1,EuropePopulation1,45
Lithuania,Europe,Population,1,EuropePopulation1,45
Luxembourg,Europe,Population,1,EuropePopulation1,45
Macedonia,Europe,Population,1,EuropePopulation1,45
Madagascar,Africa,Population,1,AfricaPopulation1,53
Malawi,Africa,Population,1,AfricaPopulation1,53
Malaysia,Asia,Population,1,AsiaPopulation1,39
Maldives,Asia,Population,1,AsiaPopulation1,39
Mali,Africa,Population,1,AfricaPopulation1,53
Malta,Europe,Population,1,EuropePopulation1,45
Marshall Islands,Oceania,Population,1,OceaniaPopulation1,14
Mauritania,Africa,Population,1,AfricaPopulation1,53
Mauritius,Africa,Population,1,AfricaPopulation1,53
Mexico,North America,Population,1,North AmericaPopulation1,22
Micronesia,Oceania,Population,1,OceaniaPopulation1,14
Moldova,Europe,Population,1,EuropePopulation1,45
Monaco,Europe,Population,1,EuropePopulation1,45
Mongolia,Asia,Population,1,AsiaPopulation1,39
Montenegro,Europe,Population,1,EuropePopulation1,45
Morocco,Africa,Population,1,AfricaPopulation1,53
Mozambique,Africa,Population,1,AfricaPopulation1,53
Myanmar,Asia,Population,1,AsiaPopulation1,39
Namibia,Africa,Population,1,AfricaPopulation1,53
Nauru,Oceania,Population,1,OceaniaPopulation1,14
Nepal,Asia,Population,1,AsiaPopulation1,39
Netherlands,Europe,Population,1,EuropePopulation1,45
New Zealand,Oceania,Population,1,OceaniaPopulation1,14
Nicaragua,North America,Population,1,North AmericaPopulation1,22
Niger,Africa,Population,1,AfricaPopulation1,53
Nigeria,Africa,Population,2,AfricaPopulation2,1
Norway,Europe,Population,1,EuropePopulation1,45
Oman,Asia,Population,1,AsiaPopulation1,39
Pakistan,Asia,Population,2,AsiaPopulation2,3
Palau,Oceania,Population,1,OceaniaPopulation1,14
Panama,North America,Population,1,North AmericaPopulation1,22
Papua New Guinea,Oceania,Population,1,OceaniaPopulation1,14
Paraguay,South America,Population,1,South AmericaPopulation1,11
Peru,South America,Population,1,South AmericaPopulation1,11
Philippines,Asia,Population,1,AsiaPopulation1,39
Poland,Europe,Population,1,EuropePopulation1,45
Portugal,Europe,Population,1,EuropePopulation1,45
Qatar,Asia,Population,1,AsiaPopulation1,39
Romania,Europe,Population,1,EuropePopulation1,45
Russia,UN Security Council,Population,2,UN Security CouncilPopulation2,1
Rwanda,Africa,Population,1,AfricaPopulation1,53
Saint Kitts and Nevis,North America,Population,1,North AmericaPopulation1,22
Saint Lucia,North America,Population,1,North AmericaPopulation1,22
Saint Vincent and the Grenadines,North America,Population,1,North AmericaPopulation1,22
Samoa,Oceania,Population,1,OceaniaPopulation1,14
San Marino,Europe,Population,1,EuropePopulation1,45
Sao Tome and Principe,Africa,Population,1,AfricaPopulation1,53
Saudi Arabia,Asia,Population,1,AsiaPopulation1,39
Senegal,Africa,Population,1,AfricaPopulation1,53
Serbia,Europe,Population,1,EuropePopulation1,45
Seychelles,Africa,Population,1,AfricaPopulation1,53
Sierra Leone,Africa,Population,1,AfricaPopulation1,53
Singapore,Asia,Population,1,AsiaPopulation1,39
Slovakia,Europe,Population,1,EuropePopulation1,45
Slovenia,Europe,Population,1,EuropePopulation1,45
Solomon Islands,Oceania,Population,1,OceaniaPopulation1,14
Somalia,Africa,Population,1,AfricaPopulation1,53
South Africa,Africa,Population,1,AfricaPopulation1,53
South Sudan,Africa,Population,1,AfricaPopulation1,53
Spain,Europe,Population,1,EuropePopulation1,45
Sri Lanka,Asia,Population,1,AsiaPopulation1,39
Sudan,Africa,Population,1,AfricaPopulation1,53
Suriname,South America,Population,1,South AmericaPopulation1,11
Sweden,Europe,Population,1,EuropePopulation1,45
Switzerland,Europe,Population,1,EuropePopulation1,45
Syria,Asia,Population,1,AsiaPopulation1,39
Taiwan,Asia,Population,1,AsiaPopulation1,39
Tajikistan,Asia,Population,1,AsiaPopulation1,39
Tanzania,Africa,Population,1,AfricaPopulation1,53
Thailand,Asia,Population,1,AsiaPopulation1,39
Timor-Leste,Asia,Population,1,AsiaPopulation1,39
Togo,Africa,Population,1,AfricaPopulation1,53
Tonga,Oceania,Population,1,OceaniaPopulation1,14
Trinidad and Tobago,North America,Population,1,North AmericaPopulation1,22
Tunisia,Africa,Population,1,AfricaPopulation1,53
Turkey,Asia,Population,1,AsiaPopulation1,39
Turkmenistan,Asia,Population,1,AsiaPopulation1,39
Tuvalu,Oceania,Population,1,OceaniaPopulation1,14
Uganda,Africa,Population,1,AfricaPopulation1,53
Ukraine,Europe,Population,1,EuropePopulation1,45
United Arab Emirates,Asia,Population,1,AsiaPopulation1,39
United Kingdom,UN Security Council,Population,1,UN Security CouncilPopulation1,2
United States,UN Security Council,Population,3,UN Security CouncilPopulation3,1
Uruguay,South America,Population,1,South AmericaPopulation1,11
Uzbekistan,Asia,Population,1,AsiaPopulation1,39
Vanuatu,Oceania,Population,1,OceaniaPopulation1,14
Venezuela,South America,Population,1,South AmericaPopulation1,11
Vietnam,Asia,Population,1,AsiaPopulation1,39
Yemen,Asia,Population,1,AsiaPopulation1,39
Zambia,Africa,Population,1,AfricaPopulation1,53
Zimbabwe,Africa,Population,1,AfricaPopulation1,53
Afghanistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Albania,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Algeria,Africa,Surface Area (Km2),2,AfricaSurface Area (Km2)2,4
Andorra,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Angola,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Antigua & Barbuda,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Argentina,South America,Surface Area (Km2),2,South AmericaSurface Area (Km2)2,1
Armenia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Australia,Oceania,Surface Area (Km2),5,OceaniaSurface Area (Km2)5,1
Austria,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Azerbaijan,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Bahamas,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Bahrain,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Bangladesh,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Barbados,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Belarus,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Belgium,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Belize,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Benin,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Bhutan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Bolivia,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
Bosnia and Herzegovina,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Botswana,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Brazil,South America,Surface Area (Km2),6,South AmericaSurface Area (Km2)6,1
Brunei,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Bulgaria,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Burkina Faso,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Burundi,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Cabo Verde,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Cambodia,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Cameroon,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Canada,North America,Surface Area (Km2),6,North AmericaSurface Area (Km2)6,1
Central African Republic,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Chad,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Chile,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
China,UN Security Council,Surface Area (Km2),6,UN Security CouncilSurface Area (Km2)6,2
Colombia,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
Comoros,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Congo (Dem. Rep.),Africa,Surface Area (Km2),2,AfricaSurface Area (Km2)2,4
Congo (Rep.),Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Costa Rica,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Cote d'Ivoire,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Croatia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Cuba,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Cyprus,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Czech Republic,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Denmark,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Djibouti,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Dominica,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Dominican Republic,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Ecuador,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
Egypt,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
El Salvador,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Equatorial Guinea,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Eritrea,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Estonia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Eswatini,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Ethiopia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Fiji,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Finland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
France,UN Security Council,Surface Area (Km2),1,UN Security CouncilSurface Area (Km2)1,2
Gabon,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
"Gambia, The",Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Georgia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Germany,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Ghana,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Greece,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Grenada,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Guatemala,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Guinea,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Guinea-Bissau,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Guyana,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
Haiti,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Honduras,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Hungary,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Iceland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
India,Asia,Surface Area (Km2),2,AsiaSurface Area (Km2)2,4
Indonesia,Asia,Surface Area (Km2),2,AsiaSurface Area (Km2)2,4
Iran,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Iraq,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Ireland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Israel,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Italy,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Jamaica,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Japan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Jordan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Kazakhstan,Asia,Surface Area (Km2),2,AsiaSurface Area (Km2)2,4
Kenya,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Kiribati,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Korea (Dem. People’s Rep.),Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Korea (Rep.),Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Kosovo,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Kuwait,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Kyrgyzstan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Laos,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Latvia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Lebanon,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Lesotho,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Liberia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Libya,Africa,Surface Area (Km2),2,AfricaSurface Area (Km2)2,4
Liechtenstein,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Lithuania,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Luxembourg,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Macedonia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Madagascar,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Malawi,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Malaysia,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Maldives,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Mali,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Malta,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Marshall Islands,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Mauritania,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Mauritius,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Mexico,North America,Surface Area (Km2),2,North AmericaSurface Area (Km2)2,1
Micronesia,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Moldova,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Monaco,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Mongolia,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Montenegro,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Morocco,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Mozambique,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Myanmar,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Namibia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Nauru,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Nepal,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Netherlands,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
New Zealand,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Nicaragua,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Niger,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Nigeria,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Norway,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Oman,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Pakistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Palau,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Panama,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Papua New Guinea,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Paraguay,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
Peru,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
Philippines,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Poland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Portugal,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Qatar,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Romania,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Russia,UN Security Council,Surface Area (Km2),10,UN Security CouncilSurface Area (Km2)10,1
Rwanda,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Saint Kitts and Nevis,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Saint Lucia,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Saint Vincent and the Grenadines,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Samoa,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
San Marino,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Sao Tome and Principe,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Saudi Arabia,Asia,Surface Area (Km2),2,AsiaSurface Area (Km2)2,4
Senegal,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Serbia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Seychelles,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Sierra Leone,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Singapore,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Slovakia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Slovenia,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Solomon Islands,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Somalia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
South Africa,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
South Sudan,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Spain,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Sri Lanka,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Sudan,Africa,Surface Area (Km2),2,AfricaSurface Area (Km2)2,4
Suriname,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
Sweden,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Switzerland,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
Syria,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Taiwan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Tajikistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Tanzania,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Thailand,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Timor-Leste,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Togo,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Tonga,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Trinidad and Tobago,North America,Surface Area (Km2),1,North AmericaSurface Area (Km2)1,20
Tunisia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Turkey,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Turkmenistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Tuvalu,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Uganda,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Ukraine,Europe,Surface Area (Km2),1,EuropeSurface Area (Km2)1,45
United Arab Emirates,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
United Kingdom,UN Security Council,Surface Area (Km2),1,UN Security CouncilSurface Area (Km2)1,2
United States,UN Security Council,Surface Area (Km2),6,UN Security CouncilSurface Area (Km2)6,2
Uruguay,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
Uzbekistan,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Vanuatu,Oceania,Surface Area (Km2),1,OceaniaSurface Area (Km2)1,13
Venezuela,South America,Surface Area (Km2),1,South AmericaSurface Area (Km2)1,10
Vietnam,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Yemen,Asia,Surface Area (Km2),1,AsiaSurface Area (Km2)1,39
Zambia,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Zimbabwe,Africa,Surface Area (Km2),1,AfricaSurface Area (Km2)1,50
Afghanistan,Asia,GINI Index,No Data,AsiaGINI IndexNo Data,12
Albania,Europe,GINI Index,2,EuropeGINI Index2,12
Algeria,Africa,GINI Index,4,AfricaGINI Index4,5
Andorra,Europe,GINI Index,No Data,EuropeGINI IndexNo Data,5
Angola,Africa,GINI Index,5,AfricaGINI Index5,16
Antigua & Barbuda,North America,GINI Index,No Data,North AmericaGINI IndexNo Data,11
Argentina,South America,GINI Index,5,South AmericaGINI Index5,2
Armenia,Europe,GINI Index,3,EuropeGINI Index3,11
Australia,Oceania,GINI Index,2,OceaniaGINI Index2,1
Austria,Europe,GINI Index,2,EuropeGINI Index2,12
Azerbaijan,Europe,GINI Index,3,EuropeGINI Index3,11
Bahamas,North America,GINI Index,No Data,North AmericaGINI IndexNo Data,11
Bahrain,Asia,GINI Index,No Data,AsiaGINI IndexNo Data,12
Bangladesh,Asia,GINI Index,3,AsiaGINI Index3,9
Barbados,North America,GINI Index,No Data,North AmericaGINI IndexNo Data,11
Belarus,Europe,GINI Index,1,EuropeGINI Index1,11
Belgium,Europe,GINI Index,1,EuropeGINI Index1,11
Belize,North America,GINI Index,No Data,North AmericaGINI IndexNo Data,11
Benin,Africa,GINI Index,4,AfricaGINI Index4,5
Bhutan,Asia,GINI Index,4,AsiaGINI Index4,10
Bolivia,South America,GINI Index,6,South AmericaGINI Index6,4
Bosnia and Herzegovina,Europe,GINI Index,3,EuropeGINI Index3,11
Botswana,Africa,GINI Index,10,AfricaGINI Index10,4
Brazil,South America,GINI Index,7,South AmericaGINI Index7,3
Brunei,Asia,GINI Index,No Data,AsiaGINI IndexNo Data,12
