Country,Contient,Category,Bucket
Spain,Europe,Population,1
Sri Lanka,Asia,Population,1
Sudan,Africa,Population,1
Suriname,South America,Population,1
Sweden,Europe,Population,1
Switzerland,Europe,Population,1
Syria,Asia,Population,1
Taiwan,Asia,Population,1
Tajikistan,Asia,Population,1
Tanzania,Africa,Population,1
Thailand,Asia,Population,1
Timor-Leste,Asia,Population,1
Togo,Africa,Population,1
Tonga,Oceania,Population,1
Trinidad and Tobago,North America,Population,1
Tunisia,Africa,Population,1
Turkey,Asia,Population,1
Turkmenistan,Asia,Population,1
Tuvalu,Oceania,Population,1
Uganda,Africa,Population,1
Ukraine,Europe,Population,1
United Arab Emirates,Asia,Population,1
United Kingdom,UN Security Council,Population,1
United States,UN Security Council,Population,3
Uruguay,South America,Population,1
Uzbekistan,Asia,Population,1
Vanuatu,Oceania,Population,1
Venezuela,South America,Population,1
Vietnam,Asia,Population,1
Yemen,Asia,Population,1
Zambia,Africa,Population,1
Zimbabwe,Africa,Population,1
Afghanistan,Asia,surface area (Km2),1
Albania,Europe,surface area (Km2),1
Algeria,Africa,surface area (Km2),2
Andorra,Europe,surface area (Km2),1
Angola,Africa,surface area (Km2),1
Antigua & Barbuda,North America,surface area (Km2),1
Argentina,South America,surface area (Km2),2
Armenia,Europe,surface area (Km2),1
Australia,Oceania,surface area (Km2),5
Austria,Europe,surface area (Km2),1
Azerbaijan,Europe,surface area (Km2),1
Bahamas,North America,surface area (Km2),1
Bahrain,Asia,surface area (Km2),1
Bangladesh,Asia,surface area (Km2),1
Barbados,North America,surface area (Km2),1
Belarus,Europe,surface area (Km2),1
Belgium,Europe,surface area (Km2),1
Belize,North America,surface area (Km2),1
Benin,Africa,surface area (Km2),1
Bhutan,Asia,surface area (Km2),1
Bolivia,South America,surface area (Km2),1
Bosnia and Herzegovina,Europe,surface area (Km2),1
Botswana,Africa,surface area (Km2),1
Brazil,South America,surface area (Km2),6
Brunei,Asia,surface area (Km2),1
Bulgaria,Europe,surface area (Km2),1
Burkina Faso,Africa,surface area (Km2),1
Burundi,Africa,surface area (Km2),1
Cabo Verde,Africa,surface area (Km2),1
Cambodia,Asia,surface area (Km2),1
Cameroon,Africa,surface area (Km2),1
Canada,North America,surface area (Km2),6
Central African Republic,Africa,surface area (Km2),1
Chad,Africa,surface area (Km2),1
Chile,South America,surface area (Km2),1
China,UN Security Council,surface area (Km2),6
Colombia,South America,surface area (Km2),1
Comoros,Africa,surface area (Km2),1
Congo (Dem. Rep.),Africa,surface area (Km2),2
Congo (Rep.),Africa,surface area (Km2),1
Costa Rica,North America,surface area (Km2),1
Cote d'Ivoire,Africa,surface area (Km2),1
Croatia,Europe,surface area (Km2),1
Cuba,North America,surface area (Km2),1
Cyprus,Europe,surface area (Km2),1
Czech Republic,Europe,surface area (Km2),1
Denmark,Europe,surface area (Km2),1
Djibouti,Africa,surface area (Km2),1
Dominica,North America,surface area (Km2),1
Dominican Republic,North America,surface area (Km2),1
Ecuador,South America,surface area (Km2),1
Egypt,Africa,surface area (Km2),1
El Salvador,North America,surface area (Km2),1
Equatorial Guinea,Africa,surface area (Km2),1
Eritrea,Africa,surface area (Km2),1
Estonia,Europe,surface area (Km2),1
Eswatini,Africa,surface area (Km2),1
Ethiopia,Africa,surface area (Km2),1
Fiji,Oceania,surface area (Km2),1
Finland,Europe,surface area (Km2),1
France,UN Security Council,surface area (Km2),1
Gabon,Africa,surface area (Km2),1
"Gambia, The",Africa,surface area (Km2),1
Georgia,Europe,surface area (Km2),1
Germany,Europe,surface area (Km2),1
Ghana,Africa,surface area (Km2),1
Greece,Europe,surface area (Km2),1
Grenada,North America,surface area (Km2),1
Guatemala,North America,surface area (Km2),1
Guinea,Africa,surface area (Km2),1
Guinea-Bissau,Africa,surface area (Km2),1
Guyana,South America,surface area (Km2),1
Haiti,North America,surface area (Km2),1
Honduras,North America,surface area (Km2),1
Hungary,Europe,surface area (Km2),1
Iceland,Europe,surface area (Km2),1
India,Asia,surface area (Km2),2
Indonesia,Asia,surface area (Km2),2
Iran,Asia,surface area (Km2),1
Iraq,Asia,surface area (Km2),1
Ireland,Europe,surface area (Km2),1
Israel,Asia,surface area (Km2),1
Italy,Europe,surface area (Km2),1
Jamaica,North America,surface area (Km2),1
Japan,Asia,surface area (Km2),1
Jordan,Asia,surface area (Km2),1
Kazakhstan,Asia,surface area (Km2),2
Kenya,Africa,surface area (Km2),1
Kiribati,Oceania,surface area (Km2),1
Korea (Dem. People’s Rep.),Asia,surface area (Km2),1
Korea (Rep.),Asia,surface area (Km2),1
Kosovo,Europe,surface area (Km2),1
Kuwait,Asia,surface area (Km2),1
Kyrgyzstan,Asia,surface area (Km2),1
Laos,Asia,surface area (Km2),1
Latvia,Europe,surface area (Km2),1
Lebanon,Asia,surface area (Km2),1
Lesotho,Africa,surface area (Km2),1
Liberia,Africa,surface area (Km2),1
Libya,Africa,surface area (Km2),2
Liechtenstein,Europe,surface area (Km2),1
Lithuania,Europe,surface area (Km2),1
Luxembourg,Europe,surface area (Km2),1
Macedonia,Europe,surface area (Km2),1
Madagascar,Africa,surface area (Km2),1
Malawi,Africa,surface area (Km2),1
Malaysia,Asia,surface area (Km2),1
Maldives,Asia,surface area (Km2),1
Mali,Africa,surface area (Km2),1
Malta,Europe,surface area (Km2),1
Marshall Islands,Oceania,surface area (Km2),1
Mauritania,Africa,surface area (Km2),1
Mauritius,Africa,surface area (Km2),1
Mexico,North America,surface area (Km2),2
Micronesia,Oceania,surface area (Km2),1
Moldova,Europe,surface area (Km2),1
Monaco,Europe,surface area (Km2),1
Mongolia,Asia,surface area (Km2),1
Montenegro,Europe,surface area (Km2),1
Morocco,Africa,surface area (Km2),1
Mozambique,Africa,surface area (Km2),1
Myanmar,Asia,surface area (Km2),1
Namibia,Africa,surface area (Km2),1
Nauru,Oceania,surface area (Km2),1
Nepal,Asia,surface area (Km2),1
Netherlands,Europe,surface area (Km2),1
New Zealand,Oceania,surface area (Km2),1
Nicaragua,North America,surface area (Km2),1
Niger,Africa,surface area (Km2),1
Nigeria,Africa,surface area (Km2),1
Norway,Europe,surface area (Km2),1
Oman,Asia,surface area (Km2),1
Pakistan,Asia,surface area (Km2),1
Palau,Oceania,surface area (Km2),1
Panama,North America,surface area (Km2),1
Papua New Guinea,Oceania,surface area (Km2),1
Paraguay,South America,surface area (Km2),1
Peru,South America,surface area (Km2),1
Philippines,Asia,surface area (Km2),1
Poland,Europe,surface area (Km2),1
Portugal,Europe,surface area (Km2),1
Qatar,Asia,surface area (Km2),1
Romania,Europe,surface area (Km2),1
Russia,UN Security Council,surface area (Km2),10
Rwanda,Africa,surface area (Km2),1
Saint Kitts and Nevis,North America,surface area (Km2),1
Saint Lucia,North America,surface area (Km2),1
Saint Vincent and the Grenadines,North America,surface area (Km2),1
Samoa,Oceania,surface area (Km2),1
San Marino,Europe,surface area (Km2),1
Sao Tome and Principe,Africa,surface area (Km2),1
Saudi Arabia,Asia,surface area (Km2),2
Senegal,Africa,surface area (Km2),1
Serbia,Europe,surface area (Km2),1
Seychelles,Africa,surface area (Km2),1
Sierra Leone,Africa,surface area (Km2),1
Singapore,Asia,surface area (Km2),1
Slovakia,Europe,surface area (Km2),1
Slovenia,Europe,surface area (Km2),1
Solomon Islands,Oceania,surface area (Km2),1
Somalia,Africa,surface area (Km2),1
South Africa,Africa,surface area (Km2),1
South Sudan,Africa,surface area (Km2),1
Spain,Europe,surface area (Km2),1
Sri Lanka,Asia,surface area (Km2),1
Sudan,Africa,surface area (Km2),2
Suriname,South America,surface area (Km2),1
Sweden,Europe,surface area (Km2),1
Switzerland,Europe,surface area (Km2),1
Syria,Asia,surface area (Km2),1
Taiwan,Asia,surface area (Km2),1
Tajikistan,Asia,surface area (Km2),1
Tanzania,Africa,surface area (Km2),1
Thailand,Asia,surface area (Km2),1
Timor-Leste,Asia,surface area (Km2),1
Togo,Africa,surface area (Km2),1
Tonga,Oceania,surface area (Km2),1
Trinidad and Tobago,North America,surface area (Km2),1
Tunisia,Africa,surface area (Km2),1
Turkey,Asia,surface area (Km2),1
Turkmenistan,Asia,surface area (Km2),1
Tuvalu,Oceania,surface area (Km2),1
Uganda,Africa,surface area (Km2),1
Ukraine,Europe,surface area (Km2),1
United Arab Emirates,Asia,surface area (Km2),1
United Kingdom,UN Security Council,surface area (Km2),1
United States,UN Security Council,surface area (Km2),6
Uruguay,South America,surface area (Km2),1
Uzbekistan,Asia,surface area (Km2),1
Vanuatu,Oceania,surface area (Km2),1
Venezuela,South America,surface area (Km2),1
Vietnam,Asia,surface area (Km2),1
Yemen,Asia,surface area (Km2),1
Zambia,Africa,surface area (Km2),1
Zimbabwe,Africa,surface area (Km2),1
Afghanistan,Asia,GINI index,No Data
Albania,Europe,GINI index,2
Algeria,Africa,GINI index,4
Andorra,Europe,GINI index,No Data
Angola,Africa,GINI index,5
Antigua & Barbuda,North America,GINI index,No Data
Argentina,South America,GINI index,5
Armenia,Europe,GINI index,3
Australia,Oceania,GINI index,2
Austria,Europe,GINI index,2
Azerbaijan,Europe,GINI index,3
Bahamas,North America,GINI index,No Data
Bahrain,Asia,GINI index,No Data
Bangladesh,Asia,GINI index,3
Barbados,North America,GINI index,No Data
Belarus,Europe,GINI index,1
Belgium,Europe,GINI index,1
Belize,North America,GINI index,No Data
Benin,Africa,GINI index,4
Bhutan,Asia,GINI index,4
Bolivia,South America,GINI index,6
Bosnia and Herzegovina,Europe,GINI index,3
Botswana,Africa,GINI index,10
Brazil,South America,GINI index,7
Brunei,Asia,GINI index,No Data
Bulgaria,Europe,GINI index,5
Burkina Faso,Africa,GINI index,5
Burundi,Africa,GINI index,5
Cabo Verde,Africa,GINI index,No Data
Cambodia,Asia,GINI index,4
Cameroon,Africa,GINI index,6
Canada,North America,GINI index,3
Central African Republic,Africa,GINI index,6
Chad,Africa,GINI index,6
Chile,South America,GINI index,7
China,UN Security Council,GINI index,6
Colombia,South America,GINI index,7
Comoros,Africa,GINI index,9
Congo (Dem. Rep.),Africa,GINI index,5
Congo (Rep.),Africa,GINI index,7
Costa Rica,North America,GINI index,7
Cote d'Ivoire,Africa,GINI index,5
Croatia,Europe,GINI index,2
Cuba,North America,GINI index,No Data
Cyprus,Europe,GINI index,3
Czech Republic,Europe,GINI index,No Data
Denmark,Europe,GINI index,2
Djibouti,Africa,GINI index,5
Dominica,North America,GINI index,No Data
Dominican Republic,North America,GINI index,6
Ecuador,South America,GINI index,6
Egypt,Africa,GINI index,3
El Salvador,North America,GINI index,4
Equatorial Guinea,Africa,GINI index,No Data
Eritrea,Africa,GINI index,No Data
Estonia,Europe,GINI index,3
Eswatini,Africa,GINI index,7
Ethiopia,Africa,GINI index,3
Fiji,Oceania,GINI index,No Data
Finland,Europe,GINI index,1
France,UN Security Council,GINI index,2
Gabon,Africa,GINI index,5
"Gambia, The",Africa,GINI index,7
Georgia,Europe,GINI index,5
Germany,Europe,GINI index,1
Ghana,Africa,GINI index,5
Greece,Europe,GINI index,4
Grenada,North America,GINI index,No Data
Guatemala,North America,GINI index,8
Guinea,Africa,GINI index,5
Guinea-Bissau,Africa,GINI index,No Data
Guyana,South America,GINI index,6
Haiti,North America,GINI index,10
Honduras,North America,GINI index,6
Hungary,Europe,GINI index,2
Iceland,Europe,GINI index,2
India,Asia,GINI index,3
Indonesia,Asia,GINI index,4
Iran,Asia,GINI index,6
Iraq,Asia,GINI index,No Data
Ireland,Europe,GINI index,3
Israel,Asia,GINI index,5
Italy,Europe,GINI index,3
Jamaica,North America,GINI index,3
Japan,Asia,GINI index,4
Jordan,Asia,GINI index,5
Kazakhstan,Asia,GINI index,1
Kenya,Africa,GINI index,7
Kiribati,Oceania,GINI index,No Data
Korea (Dem. People’s Rep.),Asia,GINI index,No Data
Korea (Rep.),Asia,GINI index,4
Kosovo,Europe,GINI index,1
Kuwait,Asia,GINI index,No Data
Kyrgyzstan,Asia,GINI index,3
Laos,Asia,GINI index,4
Latvia,Europe,GINI index,3
Lebanon,Asia,GINI index,No Data
Lesotho,Africa,GINI index,10
Liberia,Africa,GINI index,3
Libya,Africa,GINI index,No Data
Liechtenstein,Europe,GINI index,No Data
Lithuania,Europe,GINI index,4
Luxembourg,Europe,GINI index,2
Macedonia,Europe,GINI index,3
Madagascar,Africa,GINI index,5
Malawi,Africa,GINI index,6
Malaysia,Asia,GINI index,6
Maldives,Asia,GINI index,4
Mali,Africa,GINI index,5
Malta,Europe,GINI index,2
Marshall Islands,Oceania,GINI index,No Data
Mauritania,Africa,GINI index,4
Mauritius,Africa,GINI index,4
Mexico,North America,GINI index,7
Micronesia,Oceania,GINI index,10
Moldova,Europe,GINI index,1
Monaco,Europe,GINI index,No Data
Mongolia,Asia,GINI index,3
Montenegro,Europe,GINI index,3
Morocco,Africa,GINI index,5
Mozambique,Africa,GINI index,6
Myanmar,Asia,GINI index,No Data
Namibia,Africa,GINI index,10
Nauru,Oceania,GINI index,No Data
Nepal,Asia,GINI index,3
Netherlands,Europe,GINI index,2
New Zealand,Oceania,GINI index,4
Nicaragua,North America,GINI index,6
Niger,Africa,GINI index,3
Nigeria,Africa,GINI index,7
Norway,Europe,GINI index,1
Oman,Asia,GINI index,No Data
Pakistan,Asia,GINI index,2
Palau,Oceania,GINI index,No Data
Panama,North America,GINI index,7
Papua New Guinea,Oceania,GINI index,7
Paraguay,South America,GINI index,8
Peru,South America,GINI index,6
Philippines,Asia,GINI index,6
Poland,Europe,GINI index,2
Portugal,Europe,GINI index,3
Qatar,Asia,GINI index,No Data
Romania,Europe,GINI index,2
Russia,UN Security Council,GINI index,5
Rwanda,Africa,GINI index,7
Saint Kitts and Nevis,North America,GINI index,No Data
Saint Lucia,North America,GINI index,No Data
Saint Vincent and the Grenadines,North America,GINI index,No Data
Samoa,Oceania,GINI index,No Data
San Marino,Europe,GINI index,No Data
Sao Tome and Principe,Africa,GINI index,2
Saudi Arabia,Asia,GINI index,6
Senegal,Africa,GINI index,5
Serbia,Europe,GINI index,4
Seychelles,Africa,GINI index,No Data
Sierra Leone,Africa,GINI index,3
Singapore,Asia,GINI index,6
Slovakia,Europe,GINI index,1
Slovenia,Europe,GINI index,1
Solomon Islands,Oceania,GINI index,No Data
Somalia,Africa,GINI index,No Data
South Africa,Africa,GINI index,10
South Sudan,Africa,GINI index,6
Spain,Europe,GINI index,4
Sri Lanka,Asia,GINI index,4
Sudan,Africa,GINI index,No Data
Suriname,South America,GINI index,No Data
Sweden,Europe,GINI index,1
Switzerland,Europe,GINI index,2
Syria,Asia,GINI index,No Data
Taiwan,Asia,GINI index,3
Tajikistan,Asia,GINI index,3
Tanzania,Africa,GINI index,4
Thailand,Asia,GINI index,6
Timor-Leste,Asia,GINI index,3
Togo,Africa,GINI index,6
Tonga,Oceania,GINI index,No Data
Trinidad and Tobago,North America,GINI index,No Data
Tunisia,Africa,GINI index,5
Turkey,Asia,GINI index,5
Turkmenistan,Asia,GINI index,5
Tuvalu,Oceania,GINI index,No Data
Uganda,Africa,GINI index,5
Ukraine,Europe,GINI index,1
United Arab Emirates,Asia,GINI index,No Data
United Kingdom,UN Security Council,GINI index,3
United States,UN Security Council,GINI index,6
Uruguay,South America,GINI index,5
Uzbekistan,Asia,GINI index,4
Vanuatu,Oceania,GINI index,No Data
Venezuela,South America,GINI index,4
Vietnam,Asia,GINI index,3
Yemen,Asia,GINI index,4
Zambia,Africa,GINI index,9
Zimbabwe,Africa,GINI index,5
Afghanistan,Asia,happy planet index,3
Albania,Europe,happy planet index,8
Algeria,Africa,happy planet index,7
Andorra,Europe,happy planet index,No Data
Angola,Africa,happy planet index,No Data
Antigua & Barbuda,North America,happy planet index,No Data
Argentina,South America,happy planet index,8
Armenia,Europe,happy planet index,5
Australia,Oceania,happy planet index,3
Austria,Europe,happy planet index,6
Azerbaijan,Europe,happy planet index,No Data
Bahamas,North America,happy planet index,No Data
Bahrain,Asia,happy planet index,No Data
Bangladesh,Asia,happy planet index,9
Barbados,North America,happy planet index,No Data
Belarus,Europe,happy planet index,3
Belgium,Europe,happy planet index,4
Belize,North America,happy planet index,7
Benin,Africa,happy planet index,1
Bhutan,Asia,happy planet index,5
Bolivia,South America,happy planet index,4
Bosnia and Herzegovina,Europe,happy planet index,4
Botswana,Africa,happy planet index,2
Brazil,South America,happy planet index,7
Brunei,Asia,happy planet index,No Data
Bulgaria,Europe,happy planet index,3
Burkina Faso,Africa,happy planet index,2
Burundi,Africa,happy planet index,1
Cabo Verde,Africa,happy planet index,No Data
Cambodia,Asia,happy planet index,5
Cameroon,Africa,happy planet index,2
Canada,North America,happy planet index,4
Central African Republic,Africa,happy planet index,No Data
Chad,Africa,happy planet index,1
Chile,South America,happy planet index,6
China,UN Security Council,happy planet index,5
Colombia,South America,happy planet index,9
Comoros,Africa,happy planet index,4
Congo (Dem. Rep.),Africa,happy planet index,No Data
Congo (Rep.),Africa,happy planet index,2
Costa Rica,North America,happy planet index,10
Cote d'Ivoire,Africa,happy planet index,1
Croatia,Europe,happy planet index,6
Cuba,North America,happy planet index,No Data
Cyprus,Europe,happy planet index,6
Czech Republic,Europe,happy planet index,5
Denmark,Europe,happy planet index,7
Djibouti,Africa,happy planet index,2
Dominica,North America,happy planet index,No Data
Dominican Republic,North America,happy planet index,6
Ecuador,South America,happy planet index,8
Egypt,Africa,happy planet index,4
El Salvador,North America,happy planet index,8
Equatorial Guinea,Africa,happy planet index,No Data
Eritrea,Africa,happy planet index,No Data
Estonia,Europe,happy planet index,2
Eswatini,Africa,happy planet index,1
Ethiopia,Africa,happy planet index,5
Fiji,Oceania,happy planet index,No Data
Finland,Europe,happy planet index,6
France,UN Security Council,happy planet index,6
Gabon,Africa,happy planet index,2
"Gambia, The",Africa,happy planet index,No Data
Georgia,Europe,happy planet index,6
Germany,Europe,happy planet index,6
Ghana,Africa,happy planet index,3
Greece,Europe,happy planet index,4
Grenada,North America,happy planet index,No Data
Guatemala,North America,happy planet index,7
Guinea,Africa,happy planet index,No Data
Guinea-Bissau,Africa,happy planet index,No Data
Guyana,South America,happy planet index,No Data
Haiti,North America,happy planet index,5
Honduras,North America,happy planet index,5
Hungary,Europe,happy planet index,5
Iceland,Europe,happy planet index,6
India,Asia,happy planet index,6
Indonesia,Asia,happy planet index,8
Iran,Asia,happy planet index,4
Iraq,Asia,happy planet index,5
Ireland,Europe,happy planet index,6
Israel,Asia,happy planet index,6
Italy,Europe,happy planet index,5
Jamaica,North America,happy planet index,8
Japan,Asia,happy planet index,5
Jordan,Asia,happy planet index,No Data
Kazakhstan,Asia,happy planet index,2
Kenya,Africa,happy planet index,4
Kiribati,Oceania,happy planet index,No Data
Korea (Dem. People’s Rep.),Asia,happy planet index,No Data
Korea (Rep.),Asia,happy planet index,4
Kosovo,Europe,happy planet index,No Data
Kuwait,Asia,happy planet index,No Data
Kyrgyzstan,Asia,happy planet index,7
Laos,Asia,happy planet index,No Data
Latvia,Europe,happy planet index,2
Lebanon,Asia,happy planet index,3
Lesotho,Africa,happy planet index,2
Liberia,Africa,happy planet index,3
Libya,Africa,happy planet index,No Data
Liechtenstein,Europe,happy planet index,No Data
Lithuania,Europe,happy planet index,3
Luxembourg,Europe,happy planet index,1
Macedonia,Europe,happy planet index,4
Madagascar,Africa,happy planet index,No Data
Malawi,Africa,happy planet index,3
Malaysia,Asia,happy planet index,6
Maldives,Asia,happy planet index,No Data
Mali,Africa,happy planet index,No Data
Malta,Europe,happy planet index,6
Marshall Islands,Oceania,happy planet index,No Data
Mauritania,Africa,happy planet index,2
Mauritius,Africa,happy planet index,5
Mexico,North America,happy planet index,9
Micronesia,Oceania,happy planet index,No Data
Moldova,Europe,happy planet index,No Data
Monaco,Europe,happy planet index,No Data
Mongolia,Asia,happy planet index,1
Montenegro,Europe,happy planet index,4
Morocco,Africa,happy planet index,7
Mozambique,Africa,happy planet index,4
Myanmar,Asia,happy planet index,4
Namibia,Africa,happy planet index,3
Nauru,Oceania,happy planet index,No Data
Nepal,Asia,happy planet index,6
Netherlands,Europe,happy planet index,8
New Zealand,Oceania,happy planet index,6
Nicaragua,North America,happy planet index,9
Niger,Africa,happy planet index,2
Nigeria,Africa,happy planet index,3
Norway,Europe,happy planet index,8
Oman,Asia,happy planet index,3
Pakistan,Asia,happy planet index,6
Palau,Oceania,happy planet index,No Data
Panama,North America,happy planet index,9
Papua New Guinea,Oceania,happy planet index,No Data
Paraguay,South America,happy planet index,4
Peru,South America,happy planet index,7
Philippines,Asia,happy planet index,7
Poland,Europe,happy planet index,5
Portugal,Europe,happy planet index,4
Qatar,Asia,happy planet index,No Data
Romania,Europe,happy planet index,6
Russia,UN Security Council,happy planet index,2
Rwanda,Africa,happy planet index,3
Saint Kitts and Nevis,North America,happy planet index,No Data
Saint Lucia,North America,happy planet index,No Data
Saint Vincent and the Grenadines,North America,happy planet index,No Data
Samoa,Oceania,happy planet index,No Data
San Marino,Europe,happy planet index,No Data
Sao Tome and Principe,Africa,happy planet index,No Data
Saudi Arabia,Asia,happy planet index,No Data
Senegal,Africa,happy planet index,3
Serbia,Europe,happy planet index,6
Seychelles,Africa,happy planet index,No Data
Sierra Leone,Africa,happy planet index,1
Singapore,Asia,happy planet index,No Data
Slovakia,Europe,happy planet index,5
Slovenia,Europe,happy planet index,4
Solomon Islands,Oceania,happy planet index,No Data
Somalia,Africa,happy planet index,No Data
South Africa,Africa,happy planet index,1
South Sudan,Africa,happy planet index,No Data
Spain,Europe,happy planet index,8
Sri Lanka,Asia,happy planet index,7
Sudan,Africa,happy planet index,No Data
Suriname,South America,happy planet index,4
Sweden,Europe,happy planet index,5
Switzerland,Europe,happy planet index,7
Syria,Asia,happy planet index,2
Taiwan,Asia,happy planet index,No Data
Tajikistan,Asia,happy planet index,7
Tanzania,Africa,happy planet index,3
Thailand,Asia,happy planet index,8
Timor-Leste,Asia,happy planet index,No Data
Togo,Africa,happy planet index,1
Tonga,Oceania,happy planet index,No Data
Trinidad and Tobago,North America,happy planet index,1
Tunisia,Africa,happy planet index,5
Turkey,Asia,happy planet index,5
Turkmenistan,Asia,happy planet index,1
Tuvalu,Oceania,happy planet index,No Data
Uganda,Africa,happy planet index,3
Ukraine,Europe,happy planet index,5
United Arab Emirates,Asia,happy planet index,No Data
United Kingdom,UN Security Council,happy planet index,6
United States,UN Security Council,happy planet index,3
Uruguay,South America,happy planet index,8
Uzbekistan,Asia,happy planet index,6
Vanuatu,Oceania,happy planet index,9
Venezuela,South America,happy planet index,7
Vietnam,Asia,happy planet index,9
Yemen,Asia,happy planet index,4
Zambia,Africa,happy planet index,4
Zimbabwe,Africa,happy planet index,3
Afghanistan,Asia,human development index,3
Albania,Europe,human development index,8
Algeria,Africa,human development index,7
Andorra,Europe,human development index,9
Angola,Africa,human development index,4
Antigua & Barbuda,North America,human development index,8
Argentina,South America,human development index,8
Armenia,Europe,human development index,7
Australia,Oceania,human development index,10
Austria,Europe,human development index,10
Azerbaijan,Europe,human development index,7
